,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,100.06,100.4,34.00000000000034,100.23,100.35,99.43,100.44,100.4,99.83,99.78,99.78,100.4,100.4,99.83,Avg,70925102.8,528,71079,8.8,2023-11-10,9.0885018631068,8.94602761815,8.7363697277661,8.7363697277661,8.7363697277661,11.57,635.32946308584,1.5956114863259,,,,,,,,,75.740978130704,,
1,2021-12-29,Moscow Exchange T+,99.79,99.8,0.9999999999990904,99.795,100.2,99.8,100.24,99.8,100.02,99.99,99.99,99.8,99.8,100.02,Avg,95829582.0,383,95836,8.8,2023-11-10,8.9708848622936,9.1132601068371,9.1070589783559,9.1070589783559,9.1070589783559,11.33,636.3801758757,1.5999753818367,,,,,,,,,55.895289135801,,
2,2021-12-28,Moscow Exchange T+,99.94,99.95,1.0000000000005116,99.945,102.89,99.95,102.89,99.95,100.04,100.02,100.02,99.95,99.95,100.04,Avg,65448329.5,300,65433,8.8,2023-11-10,8.9586654544786,9.0204013493686,9.0142233207613,9.0142233207613,9.0142233207613,11.09,637.38544431578,1.6026825255176,,,,,,,,,59.59814466879,,
3,2021-12-27,Moscow Exchange T+,100.02,100.05,3.0000000000001137,100.035,100.2,100.0,100.2,100.05,100.12,100.11,100.11,100.05,100.05,100.12,Avg,51995844.9,148,51937,8.8,2023-11-10,8.9095525533574,8.9711277643811,8.9526448844626,8.9526448844626,8.9526448844626,10.85,638.40661916911,1.6059741221904,,,,,,,,,53.198855581379,,
4,2021-12-24,Moscow Exchange T+,100.06,100.08,1.999999999999602,100.07,100.25,100.0,100.39,100.08,100.11,100.11,100.11,100.08,100.08,100.11,Avg,74532258.6,156,74451,8.8,2023-11-10,8.9163130440273,8.9469712948171,8.9347050636055,8.9347050636055,8.9347050636055,10.13,641.40370443249,1.6134134309085,,,,,,,,,58.236599909348,,
5,2021-12-23,Moscow Exchange T+,100.0,100.14,14.000000000000057,100.07,100.32,100.0,100.34,100.1,100.04,100.03,100.03,100.11,100.11,100.04,Avg,21884858.5,170,21879,8.8,2023-11-10,8.9600058385261,8.9845258879688,8.8987740289914,8.9232550520246,8.9171333345606,9.88,642.38486639211,1.6152335203329,,,,,,,,,62.088270304561,,
6,2021-12-22,Moscow Exchange T+,100.03,100.32,28.999999999999204,100.175,100.45,100.0,100.5,100.32,100.21,100.21,100.21,100.32,100.32,100.21,Avg,88378110.1,179,88192,8.8,2023-11-10,8.8562603423074,8.966280135571001,8.7891809039472,8.7891809039472,8.7891809039472,9.64,643.42959526615,1.6194023232151,,,,,,,,,49.836869408495,,
7,2021-12-21,Moscow Exchange T+,100.02,100.03,1.0000000000005116,100.025,100.75,100.02,100.75,100.03,100.17,100.16,100.16,100.03,100.03,100.17,Avg,12299148.0,90,12279,8.8,2023-11-10,8.8809431048225,8.9725423404118,8.9664289189317,8.9664289189317,8.9664289189317,9.4,644.41895375618,1.6215246945962,,,,,,,,,40.320661416037,,
8,2021-12-20,Moscow Exchange T+,100.04,100.05,0.9999999999990904,100.045,100.03,100.0,100.75,100.05,100.2,100.19,100.19,100.05,100.05,100.2,Avg,61514436.1,163,61395,8.8,2023-11-10,8.862937232482599,8.9604762858883,8.9543728199642,8.9543728199642,8.9543728199642,9.16,645.42671665996,1.6243291053543,,,,,,,,,30.792077685261,,
9,2021-12-17,Moscow Exchange T+,100.02,100.03,1.0000000000005116,100.025,99.99,99.99,101.0,100.03,100.17,100.1,100.1,100.03,100.03,100.17,Avg,25060144.1,134,25036,8.8,2023-11-10,8.8820141814478,8.9731356642818,8.9670541389124,8.9670541389124,8.9670541389124,8.44,648.41849196853,1.6315725167716,,,,,,,,,22.695472673595,,
